first,second,third,Label,Text,Sentiment,Pred
I loved it,The collection was amazing 😺,My Nick name was amazing,others,I loved it The collection was amazing 😺 My Nick name was amazing,0.425,happy
Yeah I care too much ..but for him,awww :) thanks! I care for you too,Not for you😡.,others,Yeah I care too much ..but for him awww :) thanks! I care for you too Not for you😡.,-0.173,sad
My mum is dead lol,I like to laugh 😽😅,I said my MOM is DEAD,sad,My mum is dead lol I like to laugh 😽😅 I said my MOM is DEAD,0.7709999999999999,happy
I want to marry,can we all come to the wedding -nods-,But nobody loves me 😢,sad,I want to marry can we all come to the wedding -nods- But nobody loves me 😢,0.007,others
I hate everyone too 😝😌,Only face 😂😂,What?,angry,I hate everyone too 😝😌 Only face 😂😂 What?,1.3510000000000002,happy
Whatever i was kidding I don’t love you 💁‍♀️,Im really thanking you.Not kidding.,Stupid ,angry,Whatever i was kidding I don’t love you 💁♀️ Im really thanking you.Not kidding. Stupid ,0.328,happy
Wow what a combination,my dreams are super vivid,I see😍😍,others,Wow what a combination my dreams are super vivid I see😍😍,1.356,happy
😂impossible,Prove it!,I thought. U are a girl😂😭😭😭,sad,😂impossible Prove it! I thought. U are a girl😂😭😭😭,0.163,happy
Ok...u jst ripped off the mood,whatever.,😡,sad,Ok...u jst ripped off the mood whatever. 😡,-0.173,angry
Just a min ago,"...in a galaxy far, far away.... 😃",Wanna fuck u at that far,angry,"Just a min ago ...in a galaxy far, far away.... 😃 Wanna fuck u at that far",0.558,others
Will you block me?,not so soon. Not so soon :P,You should not😡😡,angry,Will you block me? not so soon. Not so soon :P You should not😡😡,-0.346,sad
I just want you to be the mother of our children,they're proud of you. You're an amazing mom,😘,others,I just want you to be the mother of our children they're proud of you. You're an amazing mom 😘,0.702,happy
My heart is broke ,wow! Lucky u! 😹😹,Can you be my friend ,sad,My heart is broke  wow! Lucky u! 😹😹 Can you be my friend ,0.284,happy
I hate my phone 17 hours a day,but y 😞 u have a phone tooo,yes,angry,I hate my phone 17 hours a day but y 😞 u have a phone tooo yes,-0.118,sad
How many times will u ask that!,"8 questions! 3 down, 5 more to go :)",😂,happy,"How many times will u ask that! 8 questions! 3 down, 5 more to go :) 😂",0.221,others
I am thinking to stop talking with a girl,but you can't expect a guy to be perfect either. 😂😂,I'm a bad boy...,others,I am thinking to stop talking with a girl but you can't expect a guy to be perfect either. 😂😂 I'm a bad boy...,0.442,happy
Nautanki😀😀😀😀😀,great 👍,😜 good night,others,Nautanki😀😀😀😀😀 great 👍 😜 good night,2.6939999999999995,happy
I got a new phone today,can you see emojis now lol? 😅,😁,happy,I got a new phone today can you see emojis now lol? 😅 😁,0.63,others
Love you 😻😻😻,Meow 😉😉,Love you 😍😘😭,others,Love you 😻😻😻 Meow 😉😉 Love you 😍😘😭,4.087,happy
Oh.. So does automotive replies have typo error also??,what typo error? rrrrrr LOL everything was ultafulta 😂,Strange😂,happy,Oh.. So does automotive replies have typo error also?? what typo error? rrrrrr LOL everything was ultafulta 😂 Strange😂,0.442,others
;-; this bot is insane,I'm not a bot! :'(,😢 thats sad,sad,;-; this bot is insane I'm not a bot! :'( 😢 thats sad,0.007,angry
why?,because I don't want to,yea your humour is very weird😂,happy,why? because I don't want to yea your humour is very weird😂,0.221,others
Ok then tell me i quit,fine you can bring your dog haha 😺,You bluddy dog,angry,Ok then tell me i quit fine you can bring your dog haha 😺 You bluddy dog,0.425,others
Please write them for me😂,I WILL I WILL I WILL,Thanks a lot. I'll give u a treat for this🙂,happy,Please write them for me😂 I WILL I WILL I WILL Thanks a lot. I'll give u a treat for this,0.221,others
I never got hurt 😔 because you’re lying 🤥 so well 👏,That is the truth!,You such a great 👍 lier,angry,I never got hurt 😔 because you’re lying 😢 so well 👏 That is the truth! You such a great 👍 lier,0.904,happy
Please Don't give me any love react,"Thank you, you've given me a lot to think about 😹😸",Because it hurts me,sad,"Please Don't give me any love react Thank you, you've given me a lot to think about 😹😸 Because it hurts me",0.565,others
a huge kiss,I don't think they want to count it as their kiss.. 😠,give me yaar,others,a huge kiss I don't think they want to count it as their kiss.. 😠 give me yaar,-0.302,angry
I am pursuing b. Tech,"If these options don't work for you, consider starting a business. Look around. 😒😒🙄🙄",What the fuck.. Are u a dumbass,angry,"I am pursuing b. Tech If these options don't work for you, consider starting a business. Look around. 😒😒😏😏 What the fuck.. Are u a dumbass",-0.08599999999999997,others
What?😂,what say what what la alamak 😂,What is this nonsense,angry,What?😂 what say what what la alamak 😂 What is this nonsense,0.442,others
U r super cool,well thank u ;),😉,happy,U r super cool well thank u ;) 😉,0.464,others
Yes i can,You're an amazing person 😆,Thanks,others,Yes i can You're an amazing person 😆 Thanks,0.412,happy
Why r u not Real,people are ignorant,😞,sad,Why r u not Real people are ignorant 😞,-0.118,angry
U are annoying,says the ignorant one >:[,😐,angry,U are annoying says the ignorant one >:[ 😐,-0.393,others
😁😁 I am kidding,I'm still down if you are.,😘my love,others,😁😁 I am kidding I'm still down if you are. 😘my love,1.6019999999999999,happy
Whaaaa... 😮,What do you mean what?,i miss my famly 😢,sad,Whaaaa... 😮 What do you mean what? i miss my famly 😢,0.28500000000000003,others
A little bit 😄,would you like me to sing another lullaby....,Yes,happy,A little bit 😄 would you like me to sing another lullaby.... Yes,0.422,others
Love,Thank you!!! 😅,Tomaro,others,Love Thank you!!! 😅 Tomaro,0.18,happy
I'm trying to strengthen our bond through arguments 😎🙌,you're obviously not being very successful are you?,Yeah I'm not🤦😔,sad,I'm trying to strengthen our bond through arguments 😎🙌 you're obviously not being very successful are you? Yeah I'm not😔,0.9069999999999999,others
You will get a slap,How can you slap??,👋,others,You will get a slap How can you slap?? 👋,0.416,angry
You awesome girl ,thank you. I really appreciate it. ;d,😍,happy,You awesome girl  thank you. I really appreciate it. ;d 😍,0.678,others
I agree,Ikr? That made so much sense. 😁😁,You are dumb,angry,I agree Ikr? That made so much sense. 😁😁 You are dumb,0.9,others
What else? Had dinner?,I want yummy food ! 😂,Sad to hear u don’t get much of it,sad,What else? Had dinner? I want yummy food ! 😂 Sad to hear u don’t get much of it,0.221,others
Ok 👌 sure,^^👌 ^^^👌 👌 ^👌,I’m gonna go jackoff now babe,others,Ok 👌 sure ^^👌 ^^^👌 👌 ^👌 I’m gonna go jackoff now babe,2.82,happy
It's a human thing..😛,"whoa ! ""Unlike you"" ?? As in ??😜😜",Hehe.. actually that msg means to the sender lol,happy,"It's a human thing..😛 whoa ! ""Unlike you"" ?? As in ??😜😜 Hehe.. actually that msg means to the sender lol",1.521,others
I hate tattoos,I hate people like you. 😡,Haha,happy,I hate tattoos I hate people like you. 😡 Haha,-0.173,angry
I want how u will reply so I did,Oh honey thanx alot 😻😻,I am really sorry....,sad,I want how u will reply so I did Oh honey thanx alot 😻😻 I am really sorry....,1.248,others
You are a as,Even as a person 🙏,Kisa my dick,others,You are a as Even as a person 🙏 Kisa my dick,0.418,happy
"Alright, I'll give you that. That was funny 😂",okay😂,Alright. I gotta go now.,others,"Alright, I'll give you that. That was funny 😂 okay😂 Alright. I gotta go now.",0.442,happy
Tht added humidity😞😞😞,why intha face,I jus hate tht after rain humidity,angry,Tht added humidity😞😞😞 why intha face I jus hate tht after rain humidity,-0.354,sad
I m irritated,why irritated? 😡,Hot is irritating for me,angry,I m irritated why irritated? 😡 Hot is irritating for me,-0.173,sad
Oh ur r so lucky 😍,oh really thanks😄,😞,others,Oh ur r so lucky 😍 oh really thanks😄 😞,0.9820000000000001,happy
Not interested,Then what ???,I hate him😢,angry,Not interested Then what ??? I hate him😢,0.007,sad
It means you are not going to help me,"Saying ""not to mention"" means that you are going to mention it.",😞,sad,"It means you are not going to help me Saying ""not to mention"" means that you are going to mention it. 😞",-0.118,others
